epoch, box_loss, cls_loss, loss
1,0.0007202808,0.8983358,1.0294913
2,0.00046615876,0.843648,0.96212894
3,0.00044127676,0.799235,0.9164809
4,0.00043610914,0.82410306,0.9410981
5,0.00045232996,0.78373855,0.90155274
6,0.00045155134,0.83487934,0.9526646
7,0.0005263457,0.87754357,0.9990827
8,0.00049247104,0.9411042,1.0609691
9,0.00045152826,0.91326827,1.0311028
10,0.00046707518,0.8764811,0.9951103
11,0.00045270284,0.8749814,0.99290735
12,0.00047591736,0.89342815,1.012528
13,0.00045487384,0.93644917,1.0545095
14,0.00045056615,0.93112534,1.0489833
15,0.00044810964,0.9409407,1.0586878
16,0.0004498003,0.9315119,1.0493538
17,0.00047465385,0.89574903,1.014843
18,0.0005015473,0.9072342,1.0276831
19,0.00049617374,0.92163974,1.0418286
20,0.00047727756,0.90130085,1.020552
21,0.0004960665,0.885328,1.0055263
22,0.000490565,0.921543,1.0414737
23,0.00049210596,0.9466992,1.0667146
24,0.00050045014,0.946994,1.0674335
25,0.00050312025,0.93747675,1.0580564
26,0.0005017318,0.9407918,1.0613086
27,0.0004946733,0.936721,1.0568901
28,0.0004901242,0.94030386,1.06025
29,0.0004901884,0.9346045,1.0545574
30,0.00047101104,0.9030979,1.0220953
31,0.00046105182,0.88385946,1.002362
2,0.00045810343,0.8271134,0.9451912
3,0.0004013457,0.8124266,0.9276756
4,0.00038762667,0.80630594,0.92087215
1,0.0007856742,0.94419825,1.0786237
2,0.00053880597,0.84040654,0.9625193
3,0.0005984238,0.8254294,0.95053345
4,0.00042077713,0.80917585,0.92540324
5,0.00039928997,0.8517685,0.9669285
6,0.00040822462,0.85442376,0.97003865
7,0.00037948924,0.8551939,0.9693821
8,0.00041064477,0.8418469,0.9576026
9,0.00044535485,0.9089005,1.0264015
10,0.00047667188,0.9762162,1.0952945
11,0.00048770287,1.080351,1.1999929
12,0.00041351188,1.0378029,1.1537497
13,0.00041612267,0.9407044,1.0567985
14,0.00043585134,0.9021804,1.0192802
15,0.00041157022,0.8991969,1.0151008
16,0.000435836,0.90803903,1.0251715
17,0.00045215,0.9095869,1.0275489
18,0.00047117047,0.90214425,1.0210688
19,0.0004647536,0.9148162,1.0334297
20,0.0004495952,0.9352368,1.0531006
21,0.0004488781,0.9269763,1.0448117
22,0.00047462177,0.914189,1.033321
23,0.00044195954,0.898174,1.0156811
24,0.00044994187,0.8911987,1.0091132
25,0.00044086162,0.9299714,1.0474398
26,0.00043952127,0.9382289,1.0556364
27,0.00042498845,0.9251492,1.041836
28,0.00041671656,0.9233414,1.0396196
29,0.00041643163,0.92269635,1.0389634
30,0.00041740155,0.9258016,1.0421207
31,0.0004322832,0.93310416,1.050172
32,0.00044575724,0.93391407,1.0516592
1,0.0009591109,0.91397417,1.0570718
1,0.00084010424,0.92533547,1.0624835
2,0.00074692257,0.8771337,1.0096526
3,0.00080076396,0.9250137,1.0602365
4,0.0008551396,0.8661361,1.0040854
5,0.00078642013,0.87255454,1.0070754
6,0.0008980286,0.8876766,1.027785
1,0.00077419257,0.92221236,1.0560634
2,0.0005754159,0.88791865,1.011859
3,0.0005212524,0.8420603,0.9633029
4,0.00051674654,0.80543,0.926454
5,0.00051810296,0.81388474,0.93498266
6,0.00057897693,0.8420488,0.96619964
7,0.0006118975,0.87934786,1.0051563
8,0.0005705985,0.8434712,0.96722686
9,0.00062195497,0.88816535,1.014503
10,0.0007223777,0.93185145,1.0632247
11,0.0005889347,0.9453484,1.0700636
12,0.0005879739,0.9564487,1.0811297
13,0.0005412041,0.96386445,1.086222
14,0.00055911986,0.94927216,1.0725377
15,0.00057116314,0.9187494,1.0426294
16,0.00059193454,0.9446661,1.0696001
17,0.00059773494,0.95574844,1.0809851
18,0.0005756144,0.9602752,1.0844167
19,0.00059435447,0.9476228,1.0727108
20,0.0006763905,0.9166968,1.0458955
21,0.00058261096,0.92300487,1.0475239
22,0.00059568905,0.91354316,1.0387256
23,0.0005819888,0.92630696,1.0508133
24,0.0005747612,0.9300008,1.0541542
25,0.00055909087,0.9055781,1.0289557
26,0.0005468784,0.90264595,1.0254205
27,0.00054344285,0.9074905,1.0300999
